threshold,pr_auc,roc_auc,precision,recall,f1,f2,true_negatives,false_positives,false_negatives,true_positives,false_positive_rate,reviewed_transactions,review_rate
0.75,0.9997917196604756,0.9999921142999258,1.0,0.9993279569892473,0.9996638655462184,0.9994622933189945,1576313,0,3,4461,0.0,4461,0.002822029925789659
0.76,0.9997917196604756,0.9999921142999258,1.0,0.9993279569892473,0.9996638655462184,0.9994622933189945,1576313,0,3,4461,0.0,4461,0.002822029925789659
0.73,0.9997917196604756,0.9999921142999258,0.9984336540613112,0.9995519713261649,0.9989924997201388,0.9993281075027997,1576306,7,2,4462,4.4407424160049435e-06,4469,0.002827090728167224
0.74,0.9997917196604756,0.9999921142999258,0.9991041433370661,0.9993279569892473,0.9992160376301937,0.9992831862371757,1576309,4,3,4461,2.5375670948599675e-06,4465,0.0028245603269784415
0.6900000000000001,0.9997917196604756,0.9999921142999258,0.9966502903081733,0.9997759856630825,0.9982106911205548,0.9991492791259962,1576298,15,1,4463,9.515876605724878e-06,4478,0.0028327841308419845
0.72,0.9997917196604756,0.9999921142999258,0.9973178363880196,0.9995519713261649,0.9984336540613112,0.9991043439319302,1576301,12,2,4462,7.6127012845799024e-06,4474,0.002830253729653202
0.68,0.9997917196604756,0.9999921142999258,0.9959830395001116,0.9997759856630825,0.9978759083286752,0.9990150870752563,1576295,18,1,4463,1.1419051926869855e-05,4481,0.0028346819317335717
0.7000000000000001,0.9997917196604756,0.9999921142999258,0.9968722073279714,0.9995519713261649,0.9982102908277405,0.9990148665591976,1576299,14,2,4462,8.881484832009887e-06,4476,0.0028315189302475932
0.7100000000000001,0.9997917196604756,0.9999921142999258,0.9968722073279714,0.9995519713261649,0.9982102908277405,0.9990148665591976,1576299,14,2,4462,8.881484832009887e-06,4476,0.0028315189302475932
0.77,0.9997917196604756,0.9999921142999258,1.0,0.9986559139784946,0.9993275050437123,0.9989244420543156,1576313,0,6,4458,0.0,4458,0.0028201321248980723
0.78,0.9997917196604756,0.9999921142999258,1.0,0.9986559139784946,0.9993275050437123,0.9989244420543156,1576313,0,6,4458,0.0,4458,0.0028201321248980723
0.79,0.9997917196604756,0.9999921142999258,1.0,0.9986559139784946,0.9993275050437123,0.9989244420543156,1576313,0,6,4458,0.0,4458,0.0028201321248980723
0.8,0.9997917196604756,0.9999921142999258,1.0,0.9986559139784946,0.9993275050437123,0.9989244420543156,1576313,0,6,4458,0.0,4458,0.0028201321248980723
0.81,0.9997917196604756,0.9999921142999258,1.0,0.9986559139784946,0.9993275050437123,0.9989244420543156,1576313,0,6,4458,0.0,4458,0.0028201321248980723
